task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,extended_imf,galpy_potential,M_vir,c_halo
70,10000000.0,4168693.834703355,-1.7,26.25,3000,70,True,True,True,1000000000.0,17
71,10000000.0,4168693.834703355,-1.7,26.25,3000,71,True,True,True,1000000000.0,17
72,10000000.0,4168693.834703355,-1.7,26.25,3000,72,True,True,True,1000000000.0,17
73,10000000.0,4168693.834703355,-1.7,26.25,3000,73,True,True,True,1000000000.0,17
74,10000000.0,4168693.834703355,-1.7,26.25,3000,74,True,True,True,1000000000.0,17
75,10000000.0,4168693.834703355,-1.7,26.25,3000,75,True,True,True,1000000000.0,17
76,10000000.0,4168693.834703355,-1.7,26.25,3000,76,True,True,True,1000000000.0,17
77,10000000.0,4168693.834703355,-1.7,26.25,3000,77,True,True,True,1000000000.0,17
78,10000000.0,4168693.834703355,-1.7,26.25,3000,78,True,True,True,1000000000.0,17
79,10000000.0,4168693.834703355,-1.7,26.25,3000,79,True,True,True,1000000000.0,17
80,10000000.0,4168693.834703355,-1.7,26.25,3000,80,True,True,True,1000000000.0,17
81,10000000.0,4168693.834703355,-1.7,26.25,3000,81,True,True,True,1000000000.0,17
82,10000000.0,4168693.834703355,-1.7,26.25,3000,82,True,True,True,1000000000.0,17
83,10000000.0,4168693.834703355,-1.7,26.25,3000,83,True,True,True,1000000000.0,17
84,10000000.0,4168693.834703355,-1.7,26.25,3000,84,True,True,True,1000000000.0,17
85,10000000.0,4168693.834703355,-1.7,26.25,3000,85,True,True,True,1000000000.0,17
86,10000000.0,4168693.834703355,-1.7,26.25,3000,86,True,True,True,1000000000.0,17
87,10000000.0,4168693.834703355,-1.7,26.25,3000,87,True,True,True,1000000000.0,17
88,10000000.0,4168693.834703355,-1.7,26.25,3000,88,True,True,True,1000000000.0,17
89,10000000.0,4168693.834703355,-1.7,26.25,3000,89,True,True,True,1000000000.0,17
90,10000000.0,4168693.834703355,-1.7,26.25,3000,90,True,True,True,1000000000.0,17
91,10000000.0,4168693.834703355,-1.7,26.25,3000,91,True,True,True,1000000000.0,17
92,10000000.0,4168693.834703355,-1.7,26.25,3000,92,True,True,True,1000000000.0,17
93,10000000.0,4168693.834703355,-1.7,26.25,3000,93,True,True,True,1000000000.0,17
94,10000000.0,4168693.834703355,-1.7,26.25,3000,94,True,True,True,1000000000.0,17
95,10000000.0,4168693.834703355,-1.7,26.25,3000,95,True,True,True,1000000000.0,17
96,10000000.0,4168693.834703355,-1.7,26.25,3000,96,True,True,True,1000000000.0,17
97,10000000.0,4168693.834703355,-1.7,26.25,3000,97,True,True,True,1000000000.0,17
98,10000000.0,4168693.834703355,-1.7,26.25,3000,98,True,True,True,1000000000.0,17
99,10000000.0,4168693.834703355,-1.7,26.25,3000,99,True,True,True,1000000000.0,17
100,10000000.0,4168693.834703355,-1.7,26.25,3000,100,True,True,True,1000000000.0,17
101,10000000.0,4168693.834703355,-1.7,26.25,3000,101,True,True,True,1000000000.0,17
102,10000000.0,4168693.834703355,-1.7,26.25,3000,102,True,True,True,1000000000.0,17
103,10000000.0,4168693.834703355,-1.7,26.25,3000,103,True,True,True,1000000000.0,17
104,10000000.0,4168693.834703355,-1.7,26.25,3000,104,True,True,True,1000000000.0,17
105,10000000.0,4168693.834703355,-1.7,26.25,3000,105,True,True,True,1000000000.0,17
106,10000000.0,4168693.834703355,-1.7,26.25,3000,106,True,True,True,1000000000.0,17
