task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo,clumps_seed,n_clumps
64,10000000.0,416869.3834703355,-1.7,26.25,3000,64,True,False,True,1000000000.0,7,True,10
65,10000000.0,416869.3834703355,-1.7,26.25,3000,65,True,False,True,1000000000.0,7,True,10
66,10000000.0,416869.3834703355,-1.7,26.25,3000,66,True,False,True,1000000000.0,7,True,10
67,10000000.0,416869.3834703355,-1.7,26.25,3000,67,True,False,True,1000000000.0,7,True,10
68,10000000.0,416869.3834703355,-1.7,26.25,3000,68,True,False,True,1000000000.0,7,True,10
69,10000000.0,416869.3834703355,-1.7,26.25,3000,69,True,False,True,1000000000.0,7,True,10
70,10000000.0,416869.3834703355,-1.7,26.25,3000,70,True,False,True,1000000000.0,7,True,10
71,10000000.0,416869.3834703355,-1.7,26.25,3000,71,True,False,True,1000000000.0,7,True,10
72,10000000.0,416869.3834703355,-1.7,26.25,3000,72,True,False,True,1000000000.0,7,True,10
73,10000000.0,416869.3834703355,-1.7,26.25,3000,73,True,False,True,1000000000.0,7,True,10
74,10000000.0,416869.3834703355,-1.7,26.25,3000,74,True,False,True,1000000000.0,7,True,10
75,10000000.0,416869.3834703355,-1.7,26.25,3000,75,True,False,True,1000000000.0,7,True,10
76,10000000.0,416869.3834703355,-1.7,26.25,3000,76,True,False,True,1000000000.0,7,True,10
77,10000000.0,416869.3834703355,-1.7,26.25,3000,77,True,False,True,1000000000.0,7,True,10
78,10000000.0,416869.3834703355,-1.7,26.25,3000,78,True,False,True,1000000000.0,7,True,10
79,10000000.0,416869.3834703355,-1.7,26.25,3000,79,True,False,True,1000000000.0,7,True,10
80,10000000.0,416869.3834703355,-1.7,26.25,3000,80,True,False,True,1000000000.0,7,True,10
81,10000000.0,416869.3834703355,-1.7,26.25,3000,81,True,False,True,1000000000.0,7,True,10
82,10000000.0,416869.3834703355,-1.7,26.25,3000,82,True,False,True,1000000000.0,7,True,10
83,10000000.0,416869.3834703355,-1.7,26.25,3000,83,True,False,True,1000000000.0,7,True,10
84,10000000.0,416869.3834703355,-1.7,26.25,3000,84,True,False,True,1000000000.0,7,True,10
85,10000000.0,416869.3834703355,-1.7,26.25,3000,85,True,False,True,1000000000.0,7,True,10
86,10000000.0,416869.3834703355,-1.7,26.25,3000,86,True,False,True,1000000000.0,7,True,10
87,10000000.0,416869.3834703355,-1.7,26.25,3000,87,True,False,True,1000000000.0,7,True,10
88,10000000.0,416869.3834703355,-1.7,26.25,3000,88,True,False,True,1000000000.0,7,True,10
89,10000000.0,416869.3834703355,-1.7,26.25,3000,89,True,False,True,1000000000.0,7,True,10
90,10000000.0,416869.3834703355,-1.7,26.25,3000,90,True,False,True,1000000000.0,7,True,10
91,10000000.0,416869.3834703355,-1.7,26.25,3000,91,True,False,True,1000000000.0,7,True,10
92,10000000.0,416869.3834703355,-1.7,26.25,3000,92,True,False,True,1000000000.0,7,True,10
93,10000000.0,416869.3834703355,-1.7,26.25,3000,93,True,False,True,1000000000.0,7,True,10
94,10000000.0,416869.3834703355,-1.7,26.25,3000,94,True,False,True,1000000000.0,7,True,10
95,10000000.0,416869.3834703355,-1.7,26.25,3000,95,True,False,True,1000000000.0,7,True,10
96,10000000.0,416869.3834703355,-1.7,26.25,3000,96,True,False,True,1000000000.0,7,True,10
97,10000000.0,416869.3834703355,-1.7,26.25,3000,97,True,False,True,1000000000.0,7,True,10
98,10000000.0,416869.3834703355,-1.7,26.25,3000,98,True,False,True,1000000000.0,7,True,10
99,10000000.0,416869.3834703355,-1.7,26.25,3000,99,True,False,True,1000000000.0,7,True,10
100,10000000.0,416869.3834703355,-1.7,26.25,3000,100,True,False,True,1000000000.0,7,True,10
