task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo
70,10000000.0,416869.3834703355,-1.7,26.25,3000,14,False,False,False,1000000000.0,17
71,10000000.0,416869.3834703355,-1.7,26.25,3000,15,False,False,False,1000000000.0,5
72,10000000.0,416869.3834703355,-1.7,26.25,3000,15,False,False,False,1000000000.0,7
73,10000000.0,416869.3834703355,-1.7,26.25,3000,15,False,False,False,1000000000.0,9
74,10000000.0,416869.3834703355,-1.7,26.25,3000,15,False,False,False,1000000000.0,12
75,10000000.0,416869.3834703355,-1.7,26.25,3000,15,False,False,False,1000000000.0,17
76,10000000.0,416869.3834703355,-1.7,26.25,3000,16,False,False,False,1000000000.0,5
77,10000000.0,416869.3834703355,-1.7,26.25,3000,16,False,False,False,1000000000.0,7
78,10000000.0,416869.3834703355,-1.7,26.25,3000,16,False,False,False,1000000000.0,9
79,10000000.0,416869.3834703355,-1.7,26.25,3000,16,False,False,False,1000000000.0,12
80,10000000.0,416869.3834703355,-1.7,26.25,3000,16,False,False,False,1000000000.0,17
81,10000000.0,416869.3834703355,-1.7,26.25,3000,17,False,False,False,1000000000.0,5
82,10000000.0,416869.3834703355,-1.7,26.25,3000,17,False,False,False,1000000000.0,7
83,10000000.0,416869.3834703355,-1.7,26.25,3000,17,False,False,False,1000000000.0,9
84,10000000.0,416869.3834703355,-1.7,26.25,3000,17,False,False,False,1000000000.0,12
85,10000000.0,416869.3834703355,-1.7,26.25,3000,17,False,False,False,1000000000.0,17
86,10000000.0,416869.3834703355,-1.7,26.25,3000,18,False,False,False,1000000000.0,5
87,10000000.0,416869.3834703355,-1.7,26.25,3000,18,False,False,False,1000000000.0,7
88,10000000.0,416869.3834703355,-1.7,26.25,3000,18,False,False,False,1000000000.0,9
89,10000000.0,416869.3834703355,-1.7,26.25,3000,18,False,False,False,1000000000.0,12
90,10000000.0,416869.3834703355,-1.7,26.25,3000,18,False,False,False,1000000000.0,17
91,10000000.0,416869.3834703355,-1.7,26.25,3000,19,False,False,False,1000000000.0,5
92,10000000.0,416869.3834703355,-1.7,26.25,3000,19,False,False,False,1000000000.0,7
93,10000000.0,416869.3834703355,-1.7,26.25,3000,19,False,False,False,1000000000.0,9
94,10000000.0,416869.3834703355,-1.7,26.25,3000,19,False,False,False,1000000000.0,12
95,10000000.0,416869.3834703355,-1.7,26.25,3000,19,False,False,False,1000000000.0,17
96,10000000.0,416869.3834703355,-1.7,26.25,3000,20,False,False,False,1000000000.0,5
97,10000000.0,416869.3834703355,-1.7,26.25,3000,20,False,False,False,1000000000.0,7
98,10000000.0,416869.3834703355,-1.7,26.25,3000,20,False,False,False,1000000000.0,9
99,10000000.0,416869.3834703355,-1.7,26.25,3000,20,False,False,False,1000000000.0,12
100,10000000.0,416869.3834703355,-1.7,26.25,3000,20,False,False,False,1000000000.0,17
101,10000000.0,416869.3834703355,-1.7,26.25,3000,21,False,False,False,1000000000.0,5
102,10000000.0,416869.3834703355,-1.7,26.25,3000,21,False,False,False,1000000000.0,7
103,10000000.0,416869.3834703355,-1.7,26.25,3000,21,False,False,False,1000000000.0,9
104,10000000.0,416869.3834703355,-1.7,26.25,3000,21,False,False,False,1000000000.0,12
105,10000000.0,416869.3834703355,-1.7,26.25,3000,21,False,False,False,1000000000.0,17
106,10000000.0,416869.3834703355,-1.7,26.25,3000,22,False,False,False,1000000000.0,5
107,10000000.0,416869.3834703355,-1.7,26.25,3000,22,False,False,False,1000000000.0,7
108,10000000.0,416869.3834703355,-1.7,26.25,3000,22,False,False,False,1000000000.0,9
109,10000000.0,416869.3834703355,-1.7,26.25,3000,22,False,False,False,1000000000.0,12
110,10000000.0,416869.3834703355,-1.7,26.25,3000,22,False,False,False,1000000000.0,17
111,10000000.0,416869.3834703355,-1.7,26.25,3000,23,False,False,False,1000000000.0,5
112,10000000.0,416869.3834703355,-1.7,26.25,3000,23,False,False,False,1000000000.0,7
113,10000000.0,416869.3834703355,-1.7,26.25,3000,23,False,False,False,1000000000.0,9
114,10000000.0,416869.3834703355,-1.7,26.25,3000,23,False,False,False,1000000000.0,12
115,10000000.0,416869.3834703355,-1.7,26.25,3000,23,False,False,False,1000000000.0,17
116,10000000.0,416869.3834703355,-1.7,26.25,3000,24,False,False,False,1000000000.0,5
117,10000000.0,416869.3834703355,-1.7,26.25,3000,24,False,False,False,1000000000.0,7
118,10000000.0,416869.3834703355,-1.7,26.25,3000,24,False,False,False,1000000000.0,9
119,10000000.0,416869.3834703355,-1.7,26.25,3000,24,False,False,False,1000000000.0,12
120,10000000.0,416869.3834703355,-1.7,26.25,3000,24,False,False,False,1000000000.0,17
121,10000000.0,416869.3834703355,-1.7,26.25,3000,25,False,False,False,1000000000.0,5
122,10000000.0,416869.3834703355,-1.7,26.25,3000,25,False,False,False,1000000000.0,7
123,10000000.0,416869.3834703355,-1.7,26.25,3000,25,False,False,False,1000000000.0,9
124,10000000.0,416869.3834703355,-1.7,26.25,3000,25,False,False,False,1000000000.0,12
125,10000000.0,416869.3834703355,-1.7,26.25,3000,25,False,False,False,1000000000.0,17
126,10000000.0,416869.3834703355,-1.7,26.25,3000,26,False,False,False,1000000000.0,5
127,10000000.0,416869.3834703355,-1.7,26.25,3000,26,False,False,False,1000000000.0,7
128,10000000.0,416869.3834703355,-1.7,26.25,3000,26,False,False,False,1000000000.0,9
129,10000000.0,416869.3834703355,-1.7,26.25,3000,26,False,False,False,1000000000.0,12
130,10000000.0,416869.3834703355,-1.7,26.25,3000,26,False,False,False,1000000000.0,17
131,10000000.0,416869.3834703355,-1.7,26.25,3000,27,False,False,False,1000000000.0,5
132,10000000.0,416869.3834703355,-1.7,26.25,3000,27,False,False,False,1000000000.0,7
133,10000000.0,416869.3834703355,-1.7,26.25,3000,27,False,False,False,1000000000.0,9
134,10000000.0,416869.3834703355,-1.7,26.25,3000,27,False,False,False,1000000000.0,12
135,10000000.0,416869.3834703355,-1.7,26.25,3000,27,False,False,False,1000000000.0,17
136,10000000.0,416869.3834703355,-1.7,26.25,3000,28,False,False,False,1000000000.0,5
137,10000000.0,416869.3834703355,-1.7,26.25,3000,28,False,False,False,1000000000.0,7
138,10000000.0,416869.3834703355,-1.7,26.25,3000,28,False,False,False,1000000000.0,9
139,10000000.0,416869.3834703355,-1.7,26.25,3000,28,False,False,False,1000000000.0,12
140,10000000.0,416869.3834703355,-1.7,26.25,3000,28,False,False,False,1000000000.0,17
141,10000000.0,416869.3834703355,-1.7,26.25,3000,29,False,False,False,1000000000.0,5
142,10000000.0,416869.3834703355,-1.7,26.25,3000,29,False,False,False,1000000000.0,7
143,10000000.0,416869.3834703355,-1.7,26.25,3000,29,False,False,False,1000000000.0,9
144,10000000.0,416869.3834703355,-1.7,26.25,3000,29,False,False,False,1000000000.0,12
145,10000000.0,416869.3834703355,-1.7,26.25,3000,29,False,False,False,1000000000.0,17
146,10000000.0,416869.3834703355,-1.7,26.25,3000,30,False,False,False,1000000000.0,5
147,10000000.0,416869.3834703355,-1.7,26.25,3000,30,False,False,False,1000000000.0,7
148,10000000.0,416869.3834703355,-1.7,26.25,3000,30,False,False,False,1000000000.0,9
149,10000000.0,416869.3834703355,-1.7,26.25,3000,30,False,False,False,1000000000.0,12
150,10000000.0,416869.3834703355,-1.7,26.25,3000,30,False,False,False,1000000000.0,17
151,10000000.0,416869.3834703355,-1.7,26.25,3000,31,False,False,False,1000000000.0,5
152,10000000.0,416869.3834703355,-1.7,26.25,3000,31,False,False,False,1000000000.0,7
153,10000000.0,416869.3834703355,-1.7,26.25,3000,31,False,False,False,1000000000.0,9
154,10000000.0,416869.3834703355,-1.7,26.25,3000,31,False,False,False,1000000000.0,12
155,10000000.0,416869.3834703355,-1.7,26.25,3000,31,False,False,False,1000000000.0,17
156,10000000.0,416869.3834703355,-1.7,26.25,3000,32,False,False,False,1000000000.0,5
157,10000000.0,416869.3834703355,-1.7,26.25,3000,32,False,False,False,1000000000.0,7
158,10000000.0,416869.3834703355,-1.7,26.25,3000,32,False,False,False,1000000000.0,9
159,10000000.0,416869.3834703355,-1.7,26.25,3000,32,False,False,False,1000000000.0,12
160,10000000.0,416869.3834703355,-1.7,26.25,3000,32,False,False,False,1000000000.0,17
161,10000000.0,416869.3834703355,-1.7,26.25,3000,33,False,False,False,1000000000.0,5
162,10000000.0,416869.3834703355,-1.7,26.25,3000,33,False,False,False,1000000000.0,7
