task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo
70,10000000.0,416869.3834703355,-1.7,26.25,3000,70,False,False,False,1000000000.0,7
71,10000000.0,416869.3834703355,-1.7,26.25,3000,71,False,False,False,1000000000.0,7
72,10000000.0,416869.3834703355,-1.7,26.25,3000,72,False,False,False,1000000000.0,7
73,10000000.0,416869.3834703355,-1.7,26.25,3000,73,False,False,False,1000000000.0,7
74,10000000.0,416869.3834703355,-1.7,26.25,3000,74,False,False,False,1000000000.0,7
75,10000000.0,416869.3834703355,-1.7,26.25,3000,75,False,False,False,1000000000.0,7
76,10000000.0,416869.3834703355,-1.7,26.25,3000,76,False,False,False,1000000000.0,7
77,10000000.0,416869.3834703355,-1.7,26.25,3000,77,False,False,False,1000000000.0,7
78,10000000.0,416869.3834703355,-1.7,26.25,3000,78,False,False,False,1000000000.0,7
79,10000000.0,416869.3834703355,-1.7,26.25,3000,79,False,False,False,1000000000.0,7
80,10000000.0,416869.3834703355,-1.7,26.25,3000,80,False,False,False,1000000000.0,7
81,10000000.0,416869.3834703355,-1.7,26.25,3000,81,False,False,False,1000000000.0,7
82,10000000.0,416869.3834703355,-1.7,26.25,3000,82,False,False,False,1000000000.0,7
83,10000000.0,416869.3834703355,-1.7,26.25,3000,83,False,False,False,1000000000.0,7
84,10000000.0,416869.3834703355,-1.7,26.25,3000,84,False,False,False,1000000000.0,7
85,10000000.0,416869.3834703355,-1.7,26.25,3000,85,False,False,False,1000000000.0,7
86,10000000.0,416869.3834703355,-1.7,26.25,3000,86,False,False,False,1000000000.0,7
87,10000000.0,416869.3834703355,-1.7,26.25,3000,87,False,False,False,1000000000.0,7
88,10000000.0,416869.3834703355,-1.7,26.25,3000,88,False,False,False,1000000000.0,7
89,10000000.0,416869.3834703355,-1.7,26.25,3000,89,False,False,False,1000000000.0,7
90,10000000.0,416869.3834703355,-1.7,26.25,3000,90,False,False,False,1000000000.0,7
91,10000000.0,416869.3834703355,-1.7,26.25,3000,91,False,False,False,1000000000.0,7
92,10000000.0,416869.3834703355,-1.7,26.25,3000,92,False,False,False,1000000000.0,7
93,10000000.0,416869.3834703355,-1.7,26.25,3000,93,False,False,False,1000000000.0,7
94,10000000.0,416869.3834703355,-1.7,26.25,3000,94,False,False,False,1000000000.0,7
95,10000000.0,416869.3834703355,-1.7,26.25,3000,95,False,False,False,1000000000.0,7
96,10000000.0,416869.3834703355,-1.7,26.25,3000,96,False,False,False,1000000000.0,7
97,10000000.0,416869.3834703355,-1.7,26.25,3000,97,False,False,False,1000000000.0,7
98,10000000.0,416869.3834703355,-1.7,26.25,3000,98,False,False,False,1000000000.0,7
99,10000000.0,416869.3834703355,-1.7,26.25,3000,99,False,False,False,1000000000.0,7
100,10000000.0,416869.3834703355,-1.7,26.25,3000,100,False,False,False,1000000000.0,7
101,10000000.0,4168693.834703355,-1.7,26.25,3000,1,False,False,False,1000000000.0,7
102,10000000.0,4168693.834703355,-1.7,26.25,3000,2,False,False,False,1000000000.0,7
103,10000000.0,4168693.834703355,-1.7,26.25,3000,3,False,False,False,1000000000.0,7
104,10000000.0,4168693.834703355,-1.7,26.25,3000,4,False,False,False,1000000000.0,7
105,10000000.0,4168693.834703355,-1.7,26.25,3000,5,False,False,False,1000000000.0,7
106,10000000.0,4168693.834703355,-1.7,26.25,3000,6,False,False,False,1000000000.0,7
107,10000000.0,4168693.834703355,-1.7,26.25,3000,7,False,False,False,1000000000.0,7
108,10000000.0,4168693.834703355,-1.7,26.25,3000,8,False,False,False,1000000000.0,7
109,10000000.0,4168693.834703355,-1.7,26.25,3000,9,False,False,False,1000000000.0,7
110,10000000.0,4168693.834703355,-1.7,26.25,3000,10,False,False,False,1000000000.0,7
111,10000000.0,4168693.834703355,-1.7,26.25,3000,11,False,False,False,1000000000.0,7
112,10000000.0,4168693.834703355,-1.7,26.25,3000,12,False,False,False,1000000000.0,7
113,10000000.0,4168693.834703355,-1.7,26.25,3000,13,False,False,False,1000000000.0,7
114,10000000.0,4168693.834703355,-1.7,26.25,3000,14,False,False,False,1000000000.0,7
115,10000000.0,4168693.834703355,-1.7,26.25,3000,15,False,False,False,1000000000.0,7
116,10000000.0,4168693.834703355,-1.7,26.25,3000,16,False,False,False,1000000000.0,7
117,10000000.0,4168693.834703355,-1.7,26.25,3000,17,False,False,False,1000000000.0,7
118,10000000.0,4168693.834703355,-1.7,26.25,3000,18,False,False,False,1000000000.0,7
119,10000000.0,4168693.834703355,-1.7,26.25,3000,19,False,False,False,1000000000.0,7
120,10000000.0,4168693.834703355,-1.7,26.25,3000,20,False,False,False,1000000000.0,7
121,10000000.0,4168693.834703355,-1.7,26.25,3000,21,False,False,False,1000000000.0,7
122,10000000.0,4168693.834703355,-1.7,26.25,3000,22,False,False,False,1000000000.0,7
123,10000000.0,4168693.834703355,-1.7,26.25,3000,23,False,False,False,1000000000.0,7
124,10000000.0,4168693.834703355,-1.7,26.25,3000,24,False,False,False,1000000000.0,7
125,10000000.0,4168693.834703355,-1.7,26.25,3000,25,False,False,False,1000000000.0,7
126,10000000.0,4168693.834703355,-1.7,26.25,3000,26,False,False,False,1000000000.0,7
