task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo,clumps_seed,n_clumps
64,10000000.0,416869.3834703355,-1.7,26.25,3000,64,False,False,True,1000000000.0,7,False,15
65,10000000.0,416869.3834703355,-1.7,26.25,3000,65,False,False,True,1000000000.0,7,False,15
66,10000000.0,416869.3834703355,-1.7,26.25,3000,66,False,False,True,1000000000.0,7,False,15
67,10000000.0,416869.3834703355,-1.7,26.25,3000,67,False,False,True,1000000000.0,7,False,15
68,10000000.0,416869.3834703355,-1.7,26.25,3000,68,False,False,True,1000000000.0,7,False,15
69,10000000.0,416869.3834703355,-1.7,26.25,3000,69,False,False,True,1000000000.0,7,False,15
70,10000000.0,416869.3834703355,-1.7,26.25,3000,70,False,False,True,1000000000.0,7,False,15
71,10000000.0,416869.3834703355,-1.7,26.25,3000,71,False,False,True,1000000000.0,7,False,15
72,10000000.0,416869.3834703355,-1.7,26.25,3000,72,False,False,True,1000000000.0,7,False,15
73,10000000.0,416869.3834703355,-1.7,26.25,3000,73,False,False,True,1000000000.0,7,False,15
74,10000000.0,416869.3834703355,-1.7,26.25,3000,74,False,False,True,1000000000.0,7,False,15
75,10000000.0,416869.3834703355,-1.7,26.25,3000,75,False,False,True,1000000000.0,7,False,15
76,10000000.0,416869.3834703355,-1.7,26.25,3000,76,False,False,True,1000000000.0,7,False,15
77,10000000.0,416869.3834703355,-1.7,26.25,3000,77,False,False,True,1000000000.0,7,False,15
78,10000000.0,416869.3834703355,-1.7,26.25,3000,78,False,False,True,1000000000.0,7,False,15
79,10000000.0,416869.3834703355,-1.7,26.25,3000,79,False,False,True,1000000000.0,7,False,15
80,10000000.0,416869.3834703355,-1.7,26.25,3000,80,False,False,True,1000000000.0,7,False,15
81,10000000.0,416869.3834703355,-1.7,26.25,3000,81,False,False,True,1000000000.0,7,False,15
82,10000000.0,416869.3834703355,-1.7,26.25,3000,82,False,False,True,1000000000.0,7,False,15
83,10000000.0,416869.3834703355,-1.7,26.25,3000,83,False,False,True,1000000000.0,7,False,15
84,10000000.0,416869.3834703355,-1.7,26.25,3000,84,False,False,True,1000000000.0,7,False,15
85,10000000.0,416869.3834703355,-1.7,26.25,3000,85,False,False,True,1000000000.0,7,False,15
86,10000000.0,416869.3834703355,-1.7,26.25,3000,86,False,False,True,1000000000.0,7,False,15
87,10000000.0,416869.3834703355,-1.7,26.25,3000,87,False,False,True,1000000000.0,7,False,15
88,10000000.0,416869.3834703355,-1.7,26.25,3000,88,False,False,True,1000000000.0,7,False,15
89,10000000.0,416869.3834703355,-1.7,26.25,3000,89,False,False,True,1000000000.0,7,False,15
90,10000000.0,416869.3834703355,-1.7,26.25,3000,90,False,False,True,1000000000.0,7,False,15
91,10000000.0,416869.3834703355,-1.7,26.25,3000,91,False,False,True,1000000000.0,7,False,15
92,10000000.0,416869.3834703355,-1.7,26.25,3000,92,False,False,True,1000000000.0,7,False,15
93,10000000.0,416869.3834703355,-1.7,26.25,3000,93,False,False,True,1000000000.0,7,False,15
94,10000000.0,416869.3834703355,-1.7,26.25,3000,94,False,False,True,1000000000.0,7,False,15
95,10000000.0,416869.3834703355,-1.7,26.25,3000,95,False,False,True,1000000000.0,7,False,15
96,10000000.0,416869.3834703355,-1.7,26.25,3000,96,False,False,True,1000000000.0,7,False,15
97,10000000.0,416869.3834703355,-1.7,26.25,3000,97,False,False,True,1000000000.0,7,False,15
98,10000000.0,416869.3834703355,-1.7,26.25,3000,98,False,False,True,1000000000.0,7,False,15
99,10000000.0,416869.3834703355,-1.7,26.25,3000,99,False,False,True,1000000000.0,7,False,15
100,10000000.0,416869.3834703355,-1.7,26.25,3000,100,False,False,True,1000000000.0,7,False,15
101,10000000.0,4168693.834703355,-1.7,26.25,3000,1,False,False,True,1000000000.0,7,False,15
102,10000000.0,4168693.834703355,-1.7,26.25,3000,2,False,False,True,1000000000.0,7,False,15
