configuration,total_runs,final_IMBH_mass_mean,final_IMBH_mass_std,final_IMBH_mass_1sigma,final_IMBH_mass_3sigma,mean_initial_v_esc,mean_final_v_esc
"{'M0': 10000000.0, 'rhoh0': 4168693.834703355, 'FeH': -1.7, 'rg': 26.25, 'tend': 3000.0, 'rantala_imbh_seed': True, 'extended_imf': True, 'galpy_potential': True, 'M_vir': 1000000000.0, 'c_halo': 17.0}",496,1183.8627620226,219.45523881994262,"[964.4075232026573, 1403.3180008425427]","[525.4970455627722, 1842.2284784824278]",434.9646130159555,118.45737003030278
"{'M0': 10000000.0, 'rhoh0': 416869.3834703355, 'FeH': -1.7, 'rg': 26.25, 'tend': 3000.0, 'rantala_imbh_seed': True, 'extended_imf': True, 'galpy_potential': True, 'M_vir': 1000000000.0, 'c_halo': 17.0}",4,1117.1292944976485,135.39458924030302,"[981.7347052573455, 1252.5238837379516]","[710.9455267767395, 1523.3130622185577]",298.5346754690649,106.63966627524958
